IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,IATA,ASN,TCP延迟(ms),下载速度(MB/s),状态
172.65.0.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,175.29,,成功
172.65.64.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,185.23,,成功
108.162.194.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,198.69,,成功
108.162.193.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,203.51,,成功
108.162.192.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,188.69,,成功
108.162.195.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,197.80,,成功
108.162.196.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,212.40,,成功
188.114.98.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,178.51,,成功
188.114.96.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,183.12,,成功
188.114.97.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,203.26,,成功
188.114.99.0,443,0,Yes,Cloudflare,Global Anycast,US,Premium IP,,13335,191.94,,成功
